100,0.9,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
200,0.1,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
300,0.1,-0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
400,0.9,-0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
500,0.9,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
600,0.9,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
700,0.1,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
800,0.1,-0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
900,0.9,-0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
1000,0.9,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
1100,0.9,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
1200,0.1,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
1300,0.1,-0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
1400,0.9,-0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
1500,0.9,0.3,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0
